,,,,,,,,,,,,,,,,,
Department,Category,Item,Last FY Reference,This FY Full Year,This FY YTD,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar
DCIO,CAPEX (S$),Budget,,"75,599,646","46,717,679","16,223,289","9,870,585","3,905,782","9,648,387","2,796,274","4,273,363","6,211,523","2,780,909","3,223,534","9,233,500","1,486,183","5,946,319"
DCIO,CAPEX (S$),Actual,,,"32,891,226","23,706,472","136,521","1,307,122","3,664,940","2,327,357","1,748,813",,,,,,
DCIO,CAPEX (S$),Forecast,,"75,563,857",,,,,,,,"13,104,063","9,755,034","5,203,007","1,536,158","6,475,647","6,598,722"
DCIO,CAPEX (S$),Variance,,"-35,789","-13,826,453","7,483,183","-9,734,064","-2,598,659","-5,983,446","-468,916","-2,524,549",,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
